,Close
2007-12-31 05:00:00,834.9000244140625
2008-01-02 05:00:00,857.0
2008-01-03 05:00:00,866.4000244140625
2008-01-04 05:00:00,863.0999755859375
2008-01-07 05:00:00,859.5999755859375
2008-01-08 05:00:00,878.0
2008-01-09 05:00:00,879.5
2008-01-10 05:00:00,891.7000122070312
2008-01-11 05:00:00,896.0999755859375
2008-01-14 05:00:00,901.5999755859375
2008-01-15 05:00:00,901.0
2008-01-16 05:00:00,880.5999755859375
2008-01-17 05:00:00,879.5
2008-01-18 05:00:00,880.7999877929688
2008-01-22 05:00:00,889.5999755859375
2008-01-23 05:00:00,882.5
2008-01-24 05:00:00,905.5
2008-01-25 05:00:00,910.5
2008-01-28 05:00:00,927.0999755859375
2008-01-29 05:00:00,925.0999755859375
2008-01-30 05:00:00,920.5999755859375
2008-01-31 05:00:00,922.7000122070312
2008-02-01 05:00:00,908.7000122070312
2008-02-04 05:00:00,904.9000244140625
2008-02-05 05:00:00,885.9000244140625
2008-02-06 05:00:00,900.7000122070312
2008-02-07 05:00:00,906.0999755859375
2008-02-08 05:00:00,918.4000244140625
2008-02-11 05:00:00,922.9000244140625
2008-02-12 05:00:00,907.4000244140625
2008-02-13 05:00:00,906.5
2008-02-14 05:00:00,907.4000244140625
2008-02-15 05:00:00,902.7999877929688
2008-02-19 05:00:00,926.5999755859375
2008-02-20 05:00:00,934.5999755859375
2008-02-21 05:00:00,946.0999755859375
2008-02-22 05:00:00,944.7000122070312
2008-02-25 05:00:00,937.5999755859375
2008-02-26 05:00:00,946.0999755859375
2008-02-27 05:00:00,958.2000122070312
2008-02-28 05:00:00,964.5
2008-02-29 05:00:00,972.0999755859375
2008-03-03 05:00:00,981.5
2008-03-04 05:00:00,963.9000244140625
2008-03-05 05:00:00,986.2000122070312
2008-03-06 05:00:00,975.0
2008-03-07 05:00:00,972.2000122070312
2008-03-10 04:00:00,969.9000244140625
2008-03-11 04:00:00,974.2000122070312
