player_name,final_balance,profit_loss,return_rate,play_date
lai,108299.9939,8299.993896,8.299993896,2025/9/8 15:48
kk,138836.0312,38836.03119,38.83603119,2025/9/8 16:04
hui,-388.40948486328125,-100388.40948486328,-100.38840948486327,2025-09-08 16:24:01
